epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,363.076,1.37544,1.21371,1.3175,0.51849,0.46083,0.37994,0.21681,1.89592,1.98977,1.56616,0.0004456,0.0004456,0.0004456
58,369.941,1.45316,1.27425,1.36456,0.54366,0.43974,0.37321,0.20027,1.96613,2.0213,1.60001,0.0004357,0.0004357,0.0004357
59,376.286,1.4322,1.23636,1.3378,0.50755,0.44833,0.385,0.218,1.89342,1.9594,1.54579,0.0004258,0.0004258,0.0004258
60,382.392,1.36497,1.20635,1.3217,0.5267,0.43112,0.3718,0.21638,1.90697,2.00575,1.57202,0.0004159,0.0004159,0.0004159
61,388.432,1.36444,1.19165,1.30119,0.53511,0.46467,0.39482,0.2186,1.93476,1.90821,1.59192,0.000406,0.000406,0.000406
62,394.633,1.38975,1.17494,1.31289,0.53241,0.44963,0.38106,0.20597,1.98252,1.95995,1.59159,0.0003961,0.0003961,0.0003961
63,400.722,1.47526,1.2718,1.38026,0.55845,0.43486,0.3816,0.19917,2.044,1.98357,1.63025,0.0003862,0.0003862,0.0003862
64,406.87,1.42031,1.26863,1.34463,0.55351,0.45663,0.39033,0.22642,1.86829,1.90858,1.57631,0.0003763,0.0003763,0.0003763
65,412.992,1.3156,1.16773,1.28111,0.54547,0.46404,0.39512,0.22332,1.8745,1.95931,1.57827,0.0003664,0.0003664,0.0003664
66,419.117,1.36494,1.2171,1.33902,0.5071,0.49191,0.40028,0.18434,2.16805,2.02032,1.66979,0.0003565,0.0003565,0.0003565
67,425.239,1.40987,1.24834,1.3343,0.52711,0.48082,0.39749,0.21812,1.91479,1.93897,1.59341,0.0003466,0.0003466,0.0003466
68,431.651,1.34707,1.18644,1.30413,0.55723,0.48895,0.40891,0.21099,1.9626,1.96068,1.58975,0.0003367,0.0003367,0.0003367
69,437.636,1.31482,1.15287,1.27052,0.55566,0.48578,0.41009,0.21547,1.97958,2.0072,1.60394,0.0003268,0.0003268,0.0003268
70,443.854,1.33763,1.16299,1.30992,0.51383,0.49563,0.41435,0.22485,1.92494,1.91163,1.57746,0.0003169,0.0003169,0.0003169
71,449.874,1.31913,1.16999,1.29962,0.52357,0.4728,0.40209,0.23303,1.85665,1.94393,1.55683,0.000307,0.000307,0.000307
72,455.99,1.32042,1.15969,1.2942,0.56551,0.47012,0.40963,0.23849,1.87149,1.91377,1.57488,0.0002971,0.0002971,0.0002971
73,462.079,1.35854,1.19878,1.29472,0.56086,0.46592,0.40812,0.22443,1.9171,1.93742,1.57332,0.0002872,0.0002872,0.0002872
74,468.333,1.25354,1.09179,1.22869,0.55488,0.46136,0.40377,0.22408,1.90021,1.97518,1.57109,0.0002773,0.0002773,0.0002773
75,474.457,1.3058,1.16182,1.31112,0.54357,0.5019,0.41323,0.23584,1.85166,1.88573,1.55607,0.0002674,0.0002674,0.0002674
76,480.866,1.24683,1.11726,1.26134,0.54523,0.47715,0.40292,0.22646,1.89912,1.93894,1.56676,0.0002575,0.0002575,0.0002575
77,487.148,1.30652,1.17201,1.28734,0.54139,0.4891,0.40056,0.24657,1.8151,1.87949,1.54073,0.0002476,0.0002476,0.0002476
78,493.402,1.35672,1.19319,1.30445,0.55333,0.4815,0.40414,0.24861,1.81891,1.94845,1.53859,0.0002377,0.0002377,0.0002377
79,499.575,1.26438,1.15504,1.26268,0.5402,0.48509,0.40426,0.25002,1.79784,1.9,1.53389,0.0002278,0.0002278,0.0002278
80,505.553,1.2729,1.11646,1.26667,0.54854,0.47539,0.40876,0.2371,1.86747,1.97952,1.55169,0.0002179,0.0002179,0.0002179
81,511.793,1.22883,1.09739,1.25604,0.54911,0.4966,0.41807,0.24102,1.85414,1.95994,1.52486,0.000208,0.000208,0.000208
82,517.907,1.26963,1.11852,1.25641,0.56257,0.48931,0.41368,0.23273,1.9043,2.01425,1.55178,0.0001981,0.0001981,0.0001981
83,524.155,1.24851,1.0836,1.2365,0.56981,0.4973,0.42745,0.25642,1.82553,1.86309,1.54378,0.0001882,0.0001882,0.0001882
84,530.296,1.28287,1.14294,1.29658,0.55064,0.49101,0.41548,0.2463,1.85416,1.90178,1.55624,0.0001783,0.0001783,0.0001783
85,536.554,1.22589,1.11369,1.24795,0.57437,0.48553,0.41702,0.25099,1.80361,1.85744,1.53921,0.0001684,0.0001684,0.0001684
86,543.524,1.2387,1.12035,1.24254,0.5557,0.48961,0.41083,0.25012,1.79518,1.90001,1.54074,0.0001585,0.0001585,0.0001585
87,551.108,1.2037,1.04853,1.21579,0.55027,0.48779,0.4127,0.25441,1.76236,1.90891,1.53534,0.0001486,0.0001486,0.0001486
88,557.662,1.22582,1.08099,1.23184,0.5414,0.49654,0.41067,0.25832,1.72063,1.9125,1.52218,0.0001387,0.0001387,0.0001387
89,564.54,1.19662,1.07313,1.25743,0.56424,0.49599,0.42343,0.26243,1.73687,1.84952,1.50798,0.0001288,0.0001288,0.0001288
90,570.795,1.23551,1.10216,1.2514,0.55956,0.49234,0.42124,0.25923,1.74508,1.88721,1.5085,0.0001189,0.0001189,0.0001189
91,594.564,1.00708,0.90674,1.15212,0.58145,0.51374,0.43589,0.255,1.77791,1.83635,1.50275,0.000109,0.000109,0.000109
92,600.18,0.98863,0.90748,1.14797,0.56381,0.51733,0.43439,0.25811,1.7658,1.86712,1.50654,9.91e-05,9.91e-05,9.91e-05
93,606.429,0.95401,0.85869,1.13468,0.55977,0.52126,0.43566,0.25244,1.81684,1.90206,1.51115,8.92e-05,8.92e-05,8.92e-05
94,613.525,0.98787,0.90578,1.16453,0.5533,0.51806,0.432,0.26627,1.71808,1.8414,1.48628,7.93e-05,7.93e-05,7.93e-05
95,619.566,0.96156,0.87471,1.14054,0.57062,0.50879,0.43781,0.26011,1.7747,1.86844,1.50018,6.94e-05,6.94e-05,6.94e-05
96,625.739,0.9531,0.84874,1.12532,0.56534,0.51016,0.43933,0.26119,1.78024,1.87609,1.5001,5.95e-05,5.95e-05,5.95e-05
97,631.613,0.95793,0.868,1.13537,0.57082,0.50373,0.43691,0.26873,1.73215,1.86746,1.49005,4.96e-05,4.96e-05,4.96e-05
98,637.875,0.91897,0.85696,1.11249,0.58666,0.508,0.44182,0.27154,1.71352,1.84125,1.47974,3.97e-05,3.97e-05,3.97e-05
99,643.815,0.90632,0.85149,1.11929,0.58483,0.50706,0.44158,0.26743,1.73862,1.86909,1.48754,2.98e-05,2.98e-05,2.98e-05
100,649.928,0.90355,0.83943,1.12362,0.56401,0.53255,0.44401,0.26308,1.77352,1.86323,1.49205,1.99e-05,1.99e-05,1.99e-05
